,code,listing_date,lot_size,mktcap,offer_price,listing_price,oversub_rate,app_lots_for_one_lot,one_lot_success_rate,last
5,02285.HK,2021/12/30,100,184.32-213.74,37.60-43.60,43.600,6.5,2手,35.300,+28.440%
6,02185.HK,2021/12/23,100,13.09-15.27,21.25-24.79,21.250,0.5,2手,4.280,-5.410%
7,02270.HK,2021/12/17,"2,000",6.75-8.95,1.10-1.46,1.110,0.4,2手,1.160,-5.410%
8,02276.HK,2021/12/16,500,19.03-26.02,4.46-6.10,4.460,0.8,2手,4.830,+2.020%
9,06633.HK,2021/12/16,500,77.43-96.79,11.20-14.00,11.200,2.6,5手,6.700,-4.640%
10,09699.HK,2021/12/14,200,37.99-41.55,16.42-17.96,16.420,1.9,3手,11.720,-9.260%
11,02279.HK,2021/12/13,500,82.15,15.80,15.800,159.1,16手,8.090,+5.060%
12,01228.HK,2021/12/10,"1,000",51.67,12.18,12.180,1.0,2手,2.140,-26.930%
13,02273.HK,2021/12/10,100,59.44-66.81,25.80-29.00,29.000,1.8,2手,57.250,0.000%
14,06821.HK,2021/12/10,100,68.88-80.69,350.00-410.00,388.000,0.6,1手,99.250,-4.640%
15,09898.HK,2021/12/08,20,910.22,388.00,272.800,1.7,3手,133.700,-7.180%
16,09899.HK,2021/12/02,50,394.74-457.07,190.00-220.00,205.000,7.9,8手,63.700,-2.490%
17,02265.HK,2021/11/12,"5,000",10.20-14.80,1.02-1.48,1.020,23.3,10手,0.520,-10.780%
18,09956.HK,2021/11/11,500,161.37-196.25,13.88-16.88,13.880,1.8,3手,4.620,-2.882%
19,02210.HK,2021/11/10,400,3.04-3.65,8.28-9.96,8.280,1.9,5手,3.020,-0.242%
0,01948.HK,2021/11/08,"1,000",40.20-54.96,6.70-9.16,6.700,3.6,8手,2.600,-4.478%
1,02197.HK,2021/11/05,500,148.24-156.35,12.80-13.50,13.380,3.4,3手,1.970,-2.990%
2,02251.HK,2021/11/05,100,19.48-21.08,75.10-81.30,75.100,5.2,7手,17.000,-9.454%
3,02252.HK,2021/11/02,500,342.72-411.26,36.00-43.20,43.200,162.8,40手,29.100,+6.019%
4,02235.HK,2021/10/19,100,117.32-131.93,27.70-31.15,30.500,5.8,2手,7.750,0.000%
5,02256.HK,2021/10/13,"2,000",85.43-87.54,12.16-12.46,12.460,4.6,8手,2.840,-0.482%
6,02217.HK,2021/10/07,"1,000",44.62-55.88,3.33-4.17,3.330,28.6,15手,2.300,-0.250%
7,02378.HK,2021/10/04,50,"4,723.80",172.00,143.800,0.4,1手,99.050,0.000%
8,06628.HK,2021/09/29,500,70.36-71.25,15.80-16.00,16.000,59.7,40手,2.520,-17.250%
9,09889.HK,2021/09/29,"1,000",90.93-100.00,7.92-8.71,7.920,認購不足,1手,6.760,+4.167%
10,02216.HK,2021/09/24,500,90.41-98.29,17.20-18.70,18.700,10.1,16手,1.510,-19.786%
